Solution,KPIId,KPIName,KPIShortName,KPIShortNameOrderId,KPIOrderId,KPIShortNameforCharts
ARIBA SOURCING,CS_203,"RFI Events , Count",RFI & Network Discovery,1,1,RFI Events 
ARIBA SOURCING,CS_204,"RFP Events, Count",RFP,3,2,RFP Events
ARIBA SOURCING,CS_206,"Auction Events, Count",Auctions,5,4,"Auction Events, Count"
ARIBA SOURCING,CS_208,"Advanced Auctions I (Dutch, Japanese, Forward), Count",Advanced Auctions,6,6,"I - Dutch, Japanese, Forward"
ARIBA SOURCING,CS_209,"Advanced Auctions II (Bid Transformation, Total Cost, Index), Count",Advanced Auctions,6,7,"II - Bid Transformation, Total Cost, Index"
ARIBA SOURCING,CS_210,RFP Events with Pricing Line Items,RFP with Line Items,4,8,RFP Events with Pricing Line Items
ARIBA SOURCING,CS_211,"Full Sourcing Projects, Count",Sourcing Projects,7,9,Full Sourcing Projects
ARIBA SOURCING,CS_212,"Full Sourcing Projects Completed, Count",Sourcing Projects,7,11,Completed
ARIBA SOURCING,CS_215,"Savings Form, Count",Savings Form,10,14,Savings Form
ARIBA SOURCING,CS_217,"Full Sourcing Projects with Notify/Review/To-Do Tasks , Count",Sourcing Workflow,8,16,with Notify/Review/To-Do Tasks 
ARIBA SOURCING,CS_218,"Full Sourcing Projects with Approval Tasks, Count",Sourcing Workflow,8,17,with Approval Tasks
ARIBA SOURCING,CS_219,"Sourcing Requests, Count",Sourcing Request,9,18,Sourcing Requests
ARIBA CONTRACTS,CS_304,"Main Agreements Authored and Published, Count",Authoring,3,4,Main Agreements Authored and Published
ARIBA CONTRACTS,CS_305,"Contracts with Signature Tasks, Count",eSignature Integration,9,5,Signature
ARIBA CONTRACTS,CS_307,"Contracts with Parent Agreements, Count",Contract Hierarchy,7,7,Parent Agreements
ARIBA CONTRACTS,CS_308,"Contracts with Sub Agreements, Count",Contract Hierarchy,7,8,Sub Agreements
ARIBA CONTRACTS,CS_309,"Contracts with Amendments, Count",Amendments,6,9,Contracts with Amendments
ARIBA CONTRACTS,CS_310,"Procurement Contracts, Count",Contract Repository,1,10,Procurement Contracts
ARIBA CONTRACTS,CS_311,"Sales Contracts, Count",Sales Contracts,8,11,Sales Contracts
ARIBA CONTRACTS,CS_313,"Contracts with Approval Tasks, Count",Workflow,2,13,Approval
ARIBA CONTRACTS,CS_314,"Contracts with Negotiation (Review) Tasks, Count",Workflow,2,14,Negotiation (Review)
ARIBA CONTRACTS,CS_318,"Contracts with Contract Terms, Count",Compliance ,4,18,Contracts with Contract Terms
ARIBA CONTRACTS,CS_319,"Contract Line item Documents, Count",CLID,5,19,Contract Line item Documents
ARIBA BUYING,CS_402,Buying Channel - Catalog Requisition,Catalog Requisition,1,1,Catalog Requisitions
ARIBA BUYING,CS_403,Buying Channel - Non-Catalog Requisition,Non-Cat Requisition,2,2,Non-Catalog Requisitions
ARIBA BUYING,CS_415,Buying Channel - Collaborative Requisition,Collaboration Requisition,4,15,Collaboration Requisitions
ARIBA BUYING,CS_416,Buying Channel - Fieldglass Integration,Fieldglass Integration,7,16,Fieldglass Integration
ARIBA BUYING,CS_417,Buying Channel - Service Purchase Order (SAP),Service PO,5,17,Service POs
ARIBA BUYING,CS_418,Buying Channel - Spot Buy,Spot Buy,6,18,Spot Buy
ARIBA BUYING,CS_420,Buying Channel - Non-PO Invoice,Non-PO Invoice,8,20,Non-PO Invoices
ARIBA BUYING,CS_423,Order Routing Method - Electronic (Ariba Network),Electronic Requisition,9,23,Electronic Requisitions
ARIBA BUYING,CS_427,Receiving,Receiving,10,27,Receiving
SLP,CS_602,"Supplier Registration Projects, Count",Supplier Registration,1,1,Supplier Registration Projects
SLP,CS_603,"Integrated Suppliers, Count",Integrated Suppliers,10,2,Integrated Suppliers
SLP,CS_604,"Supplier Qualifications, Count",Qualified Suppliers,2,3,Qualified Suppliers
SLP,CS_605,"Internal Supplier Requests, Count",Internal Supplier Request,3,4,Internal Supplier Request
SLP,CS_606,External (Supplier Self- Registration) Requests,External Registration,4,5,External (Supplier Self- Registration) Requests
SLP,CS_609,"Preferred Supplier Projects, Count",Preferred Supplier Project,5,8,Preferred Supplier Projects
SLP,CS_610,"Internal Forms, Count",Internal Forms,6,9,Internal Forms
SLP,CS_611,"Use of Update Phase, Count of Projects",Use of Update Phase,8,10,Use of Update Phase
SLP,CS_612,"Use of Approval Levels, Count of Projects",Use of Approval Levels,9,11,Use of Approval Levels
SLP,CS_615,"Registered Suppliers, Count",Registered Suppliers,7,14,Registered Suppliers
SLP,CS_616,"Qualified Suppliers, Count",Qualified Suppliers,2,15,Qualified Suppliers
SUPPLIER RISK,CS_901,"Engagement Requests, any status",Supplier Risk,11,1,all Statuses
SUPPLIER RISK,CS_902,"Engagement Requests, completed",Supplier Risk,11,2,Completed
SUPPLIER RISK,CS_903,Engagement Requests with Inherent Risk Calculation,Supplier Risk,11,3,w/ Inherent Risk
SUPPLIER RISK,CS_904,Engagement Requests with Residual Risk Calculation,Supplier Risk,11,4,w/ Residual Risk
SUPPLIER RISK,CS_905,Use of Periodic Control Review,Supplier Risk,11,5,Use of Periodic Control Review
